 X;T(a1, Fo11);T(a1, Fo21);T(a1, Fo31)
       0.010000000;       0.935162695;       0.330934196;       0.112631651
       0.020000000;       0.934926685;       0.330812605;       0.112590266
       0.030000000;       0.934533148;       0.330609984;       0.112521301
       0.040000000;       0.933981802;       0.330326386;       0.112424775
       0.050000000;       0.933272255;       0.329961878;       0.112300709
       0.060000000;       0.932404004;       0.329516550;       0.112149136
       0.070000000;       0.931376437;       0.328990512;       0.111970092
       0.080000000;       0.930188837;       0.328383891;       0.111763621
       0.090000000;       0.928840378;       0.327696837;       0.111529773
       0.100000000;       0.927330135;       0.326929517;       0.111268606
       0.110000000;       0.925657082;       0.326082120;       0.110980183
       0.120000000;       0.923820096;       0.325154853;       0.110664576
       0.130000000;       0.921817959;       0.324147943;       0.110321862
       0.140000000;       0.919649363;       0.323061636;       0.109952124
       0.150000000;       0.917312917;       0.321896199;       0.109555454
       0.160000000;       0.914807143;       0.320651917;       0.109131948
       0.170000000;       0.912130487;       0.319329094;       0.108681709
       0.180000000;       0.909281323;       0.317928054;       0.108204850
       0.190000000;       0.906257956;       0.316449141;       0.107701485
       0.200000000;       0.903058627;       0.314892717;       0.107171739
       0.210000000;       0.899681519;       0.313259162;       0.106615741
       0.220000000;       0.896124765;       0.311548876;       0.106033628
       0.230000000;       0.892386449;       0.309762279;       0.105425541
       0.240000000;       0.888464618;       0.307899808;       0.104791631
       0.250000000;       0.884357282;       0.305961918;       0.104132052
       0.260000000;       0.880062426;       0.303949084;       0.103446965
       0.270000000;       0.875578011;       0.301861800;       0.102736540
       0.280000000;       0.870901989;       0.299700576;       0.102000949
       0.290000000;       0.866032300;       0.297465941;       0.101240372
       0.300000000;       0.860966887;       0.295158443;       0.100454997
       0.310000000;       0.855703699;       0.292778646;       0.099645016
       0.320000000;       0.850240701;       0.290327134;       0.098810626
       0.330000000;       0.844575879;       0.287804506;       0.097952032
       0.340000000;       0.838707249;       0.285211380;       0.097069446
       0.350000000;       0.832632864;       0.282548392;       0.096163082
       0.360000000;       0.826350823;       0.279816193;       0.095233163
       0.370000000;       0.819859277;       0.277015452;       0.094279916
       0.380000000;       0.813156436;       0.274146856;       0.093303575
       0.390000000;       0.806240581;       0.271211106;       0.092304380
       0.400000000;       0.799110067;       0.268208922;       0.091282575
