 tau;Ta3(X1);Ta3(X2);Ta3(X3)
       0.000000000;       0.925177770;       1.000000393;       1.000000050
       0.010000000;       0.000020591;       0.999593095;       1.000000002
       0.020000000;       0.000014577;       0.987581324;       0.999998857
       0.030000000;       0.000011910;       0.958774661;       0.999910895
       0.040000000;       0.000010317;       0.922902187;       0.999186140
       0.050000000;       0.000009233;       0.886154253;       0.996869325
       0.060000000;       0.000008431;       0.851073405;       0.992215432
       0.070000000;       0.000007806;       0.818492998;       0.984947814
       0.080000000;       0.000007304;       0.788526972;       0.975161986
       0.090000000;       0.000006888;       0.761003677;       0.963156611
       0.100000000;       0.000006535;       0.735654838;       0.949306440
       0.110000000;       0.000006231;       0.712197853;       0.933988773
       0.120000000;       0.000005965;       0.690370121;       0.917547825
       0.130000000;       0.000005729;       0.669941281;       0.900281280
       0.140000000;       0.000005517;       0.650715327;       0.882438442
       0.150000000;       0.000005325;       0.632528327;       0.864223796
       0.160000000;       0.000005149;       0.615244488;       0.845802653
       0.170000000;       0.000004987;       0.598751891;       0.827307200
       0.180000000;       0.000004836;       0.582958477;       0.808842170
       0.190000000;       0.000004695;       0.567788506;       0.790489837
       0.200000000;       0.000004562;       0.553179547;       0.772314257
       0.210000000;       0.000004436;       0.539079976;       0.754364794
       0.220000000;       0.000004315;       0.525446921;       0.736679011
       0.230000000;       0.000004201;       0.512244581;       0.719285031
       0.240000000;       0.000004090;       0.499442878;       0.702203436
       0.250000000;       0.000003985;       0.487016352;       0.685448807
       0.260000000;       0.000003883;       0.474943287;       0.669030959
       0.270000000;       0.000003784;       0.463204993;       0.652955929
       0.280000000;       0.000003689;       0.451785244;       0.637226773
       0.290000000;       0.000003596;       0.440669814;       0.621844201
       0.300000000;       0.000003506;       0.429846108;       0.606807087
       0.310000000;       0.000003419;       0.419302871;       0.592112874
       0.320000000;       0.000003335;       0.409029947;       0.577757902
       0.330000000;       0.000003252;       0.399018090;       0.563737663
       0.340000000;       0.000003172;       0.389258806;       0.550047010
       0.350000000;       0.000003094;       0.379744234;       0.536680324
       0.360000000;       0.000003018;       0.370467044;       0.523631640
       0.370000000;       0.000002944;       0.361420357;       0.510894756
       0.380000000;       0.000002872;       0.352597678;       0.498463311
       0.390000000;       0.000002802;       0.343992847;       0.486330853
       0.400000000;       0.000002733;       0.335599993;       0.474490890
       0.410000000;       0.000002667;       0.327413498;       0.462936931
       0.420000000;       0.000002602;       0.319427973;       0.451662513
       0.430000000;       0.000002538;       0.311638231;       0.440661233
       0.440000000;       0.000002476;       0.304039271;       0.429926761
       0.450000000;       0.000002416;       0.296626256;       0.419452855
       0.460000000;       0.000002357;       0.289394507;       0.409233375
       0.470000000;       0.000002299;       0.282339486;       0.399262289
       0.480000000;       0.000002243;       0.275456793;       0.389533676
       0.490000000;       0.000002188;       0.268742151;       0.380041734
       0.500000000;       0.000002135;       0.262191402;       0.370780783
       0.510000000;       0.000002083;       0.255800504;       0.361745261
       0.520000000;       0.000002032;       0.249565522;       0.352929729
       0.530000000;       0.000001983;       0.243482625;       0.344328871
       0.540000000;       0.000001934;       0.237548080;       0.335937490
       0.550000000;       0.000001887;       0.231758252;       0.327750508
       0.560000000;       0.000001841;       0.226109599;       0.319762967
       0.570000000;       0.000001796;       0.220598665;       0.311970024
       0.580000000;       0.000001753;       0.215222086;       0.304366952
       0.590000000;       0.000001710;       0.209976577;       0.296949135
       0.600000000;       0.000001668;       0.204858937;       0.289712066
       0.610000000;       0.000001628;       0.199866046;       0.282651348
       0.620000000;       0.000001588;       0.194994858;       0.275762689
       0.630000000;       0.000001549;       0.190242404;       0.269041901
       0.640000000;       0.000001511;       0.185605788;       0.262484896
       0.650000000;       0.000001475;       0.181082183;       0.256087685
       0.660000000;       0.000001439;       0.176668835;       0.249846376
       0.670000000;       0.000001404;       0.172363053;       0.243757173
       0.680000000;       0.000001369;       0.168162217;       0.237816368
       0.690000000;       0.000001336;       0.164063766;       0.232020347
       0.700000000;       0.000001303;       0.160065206;       0.226365582
       0.710000000;       0.000001272;       0.156164100;       0.220848632
       0.720000000;       0.000001241;       0.152358074;       0.215466137
       0.730000000;       0.000001210;       0.148644809;       0.210214823
       0.740000000;       0.000001181;       0.145022045;       0.205091491
       0.750000000;       0.000001152;       0.141487576;       0.200093023
       0.760000000;       0.000001124;       0.138039249;       0.195216376
       0.770000000;       0.000001097;       0.134674965;       0.190458582
       0.780000000;       0.000001070;       0.131392676;       0.185816743
       0.790000000;       0.000001044;       0.128190382;       0.181288035
       0.800000000;       0.000001018;       0.125066135;       0.176869699
       0.810000000;       0.000000994;       0.122018033;       0.172559047
       0.820000000;       0.000000969;       0.119044218;       0.168353453
       0.830000000;       0.000000946;       0.116142881;       0.164250357
       0.840000000;       0.000000923;       0.113312256;       0.160247261
       0.850000000;       0.000000900;       0.110550618;       0.156341728
       0.860000000;       0.000000878;       0.107856287;       0.152531381
       0.870000000;       0.000000857;       0.105227622;       0.148813899
       0.880000000;       0.000000836;       0.102663023;       0.145187019
       0.890000000;       0.000000816;       0.100160928;       0.141648533
       0.900000000;       0.000000796;       0.097719814;       0.138196286
       0.910000000;       0.000000776;       0.095338194;       0.134828178
       0.920000000;       0.000000757;       0.093014619;       0.131542156
       0.930000000;       0.000000739;       0.090747674;       0.128336222
       0.940000000;       0.000000721;       0.088535979;       0.125208422
       0.950000000;       0.000000703;       0.086378188;       0.122156852
       0.960000000;       0.000000686;       0.084272985;       0.119179655
       0.970000000;       0.000000670;       0.082219091;       0.116275018
       0.980000000;       0.000000653;       0.080215254;       0.113441173
       0.990000000;       0.000000637;       0.078260254;       0.110676394
       1.000000000;       0.000000622;       0.076352901;       0.107978998
       1.010000000;       0.000000607;       0.074492035;       0.105347342
       1.020000000;       0.000000592;       0.072676521;       0.102779825
       1.030000000;       0.000000577;       0.070905255;       0.100274884
       1.040000000;       0.000000563;       0.069177157;       0.097830992
       1.050000000;       0.000000550;       0.067491177;       0.095446663
       1.060000000;       0.000000536;       0.065846288;       0.093120445
       1.070000000;       0.000000523;       0.064241487;       0.090850921
       1.080000000;       0.000000510;       0.062675799;       0.088636710
       1.090000000;       0.000000498;       0.061148269;       0.086476463
       1.100000000;       0.000000486;       0.059657969;       0.084368866
       1.110000000;       0.000000474;       0.058203990;       0.082312634
