Iteration,residual,force
       0,  0.1000000E+01,  0.9433097E-02
       1,  0.9162301E+00,  0.1975796E-01
       2,  0.1080108E+01,  0.3047643E-01
       3,  0.1107516E+01,  0.4203790E-01
       4,  0.1057747E+01,  0.5391080E-01
       5,  0.1008687E+01,  0.6636279E-01
       6,  0.9612234E+00,  0.7896408E-01
       7,  0.9154538E+00,  0.9192636E-01
       8,  0.8714150E+00,  0.1049233E+00
       9,  0.8260757E+00,  0.1181321E+00
      10,  0.6441745E+00,  0.1306267E+00
      11,  0.5329269E+00,  0.1426947E+00
      12,  0.4696707E+00,  0.1544404E+00
      13,  0.4327248E+00,  0.1658512E+00
      14,  0.4082392E+00,  0.1770162E+00
      15,  0.3890957E+00,  0.1879330E+00
      16,  0.3735882E+00,  0.1986552E+00
      17,  0.3605317E+00,  0.2091875E+00
      18,  0.3483677E+00,  0.2195938E+00
      19,  0.3061539E+00,  0.2299668E+00
      20,  0.2944305E+00,  0.2404115E+00
      21,  0.3190405E+00,  0.2509335E+00
      22,  0.3398078E+00,  0.2615461E+00
      23,  0.3484212E+00,  0.2722118E+00
      24,  0.3447299E+00,  0.2829109E+00
      25,  0.3348810E+00,  0.2935922E+00
      26,  0.3237225E+00,  0.3042266E+00
      27,  0.3128993E+00,  0.3147718E+00
      28,  0.3006402E+00,  0.3252317E+00
      29,  0.2923608E+00,  0.3355769E+00
      30,  0.2794690E+00,  0.3457441E+00
      31,  0.2715276E+00,  0.3557674E+00
      32,  0.2654752E+00,  0.3656434E+00
      33,  0.2603049E+00,  0.3753819E+00
      34,  0.2553934E+00,  0.3849977E+00
      35,  0.2520098E+00,  0.3945020E+00
      36,  0.2488571E+00,  0.4039035E+00
      37,  0.2456653E+00,  0.4132163E+00
      38,  0.2429243E+00,  0.4224468E+00
      39,  0.2443597E+00,  0.4316117E+00
      40,  0.2460247E+00,  0.4407137E+00
      41,  0.2451444E+00,  0.4497507E+00
      42,  0.2445750E+00,  0.4587241E+00
      43,  0.2429231E+00,  0.4676326E+00
      44,  0.2407276E+00,  0.4764732E+00
      45,  0.2380393E+00,  0.4852415E+00
      46,  0.2349585E+00,  0.4939349E+00
      47,  0.2318039E+00,  0.5025501E+00
      48,  0.2284568E+00,  0.5110867E+00
      49,  0.2249858E+00,  0.5195426E+00
      50,  0.2217965E+00,  0.5279189E+00
      51,  0.2190303E+00,  0.5362170E+00
      52,  0.2165379E+00,  0.5444372E+00
      53,  0.2144067E+00,  0.5525800E+00
      54,  0.2122347E+00,  0.5606460E+00
      55,  0.2102521E+00,  0.5686368E+00
      56,  0.2082108E+00,  0.5765537E+00
      57,  0.2062813E+00,  0.5843985E+00
      58,  0.2043523E+00,  0.5921726E+00
      59,  0.2025758E+00,  0.5998773E+00
      60,  0.2007832E+00,  0.6075134E+00
      61,  0.1989511E+00,  0.6150811E+00
      62,  0.1971865E+00,  0.6225811E+00
      63,  0.1955454E+00,  0.6300140E+00
      64,  0.1938766E+00,  0.6373804E+00
      65,  0.1921193E+00,  0.6446805E+00
      66,  0.1903282E+00,  0.6519148E+00
      67,  0.1884256E+00,  0.6590833E+00
      68,  0.1865929E+00,  0.6661860E+00
      69,  0.1847835E+00,  0.6732232E+00
      70,  0.1830372E+00,  0.6801953E+00
      71,  0.1813104E+00,  0.6871026E+00
      72,  0.1795975E+00,  0.6939458E+00
      73,  0.1778937E+00,  0.7007252E+00
      74,  0.1761962E+00,  0.7074414E+00
      75,  0.1745275E+00,  0.7140950E+00
      76,  0.1728717E+00,  0.7206866E+00
      77,  0.1712362E+00,  0.7272170E+00
      78,  0.1696273E+00,  0.7336868E+00
      79,  0.1680443E+00,  0.7400966E+00
      80,  0.1664760E+00,  0.7464470E+00
      81,  0.1649182E+00,  0.7527383E+00
      82,  0.1633714E+00,  0.7589711E+00
      83,  0.1618354E+00,  0.7651457E+00
      84,  0.1603062E+00,  0.7712626E+00
      85,  0.1587846E+00,  0.7773221E+00
      86,  0.1572734E+00,  0.7833248E+00
      87,  0.1557733E+00,  0.7892708E+00
      88,  0.1542817E+00,  0.7951607E+00
      89,  0.1527999E+00,  0.8009950E+00
      90,  0.1513296E+00,  0.8067740E+00
      91,  0.1498720E+00,  0.8124982E+00
