  
       XFOIL         Version 6.99
  
 Calculated polar for: issue                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.3831   0.00968   0.00411  -0.3150   0.6161   0.3286
   0.500   1.4323   0.00989   0.00433  -0.3142   0.6061   0.3701
   1.000   1.4787   0.01012   0.00465  -0.3128   0.5960   0.4318
   1.500   1.5212   0.01042   0.00495  -0.3106   0.5857   0.4554
   2.000   1.5665   0.01078   0.00533  -0.3090   0.5753   0.4782
   2.500   1.6113   0.01118   0.00575  -0.3074   0.5647   0.5007
   3.000   1.6136   0.01305   0.00712  -0.2974   0.4779   0.5176
   3.500   1.6007   0.01616   0.00956  -0.2853   0.3714   0.5324
   4.000   1.5402   0.02257   0.01495  -0.2667   0.2016   0.5416
   4.500   1.5033   0.02872   0.02052  -0.2539   0.0672   0.5528
