  
       XFOIL         Version 6.99
  
 Calculated polar for: af1                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.1800   0.00657   0.00267  -0.3003   0.8484   0.4328
   0.500   1.2306   0.00668   0.00275  -0.2986   0.8231   0.4557
   1.000   1.2778   0.00693   0.00291  -0.2962   0.7890   0.4765
   1.500   1.3114   0.00757   0.00328  -0.2908   0.7234   0.4948
   2.000   1.3008   0.00942   0.00440  -0.2760   0.5788   0.5084
   2.500   1.2985   0.01205   0.00606  -0.2640   0.3917   0.5224
   3.000   1.3221   0.01371   0.00720  -0.2575   0.2884   0.5385
   3.500   1.3563   0.01485   0.00809  -0.2531   0.2342   0.5550
   4.000   1.3934   0.01584   0.00891  -0.2493   0.1985   0.5717
   4.500   1.4316   0.01678   0.00974  -0.2457   0.1722   0.5872
   5.000   1.4703   0.01769   0.01059  -0.2423   0.1531   0.6024
   5.500   1.5084   0.01863   0.01148  -0.2388   0.1376   0.6176
   6.000   1.5463   0.01959   0.01241  -0.2354   0.1252   0.6320
   6.500   1.5838   0.02057   0.01338  -0.2319   0.1149   0.6464
   7.000   1.6207   0.02159   0.01441  -0.2284   0.1061   0.6602
   7.500   1.6564   0.02269   0.01551  -0.2247   0.0988   0.6739
   8.000   1.6915   0.02383   0.01667  -0.2211   0.0924   0.6873
   8.500   1.7260   0.02501   0.01789  -0.2174   0.0867   0.7007
   9.000   1.7592   0.02628   0.01920  -0.2135   0.0817   0.7137
   9.500   1.7914   0.02763   0.02060  -0.2096   0.0773   0.7265
  10.000   1.8225   0.02905   0.02208  -0.2057   0.0733   0.7391
  10.500   1.8522   0.03060   0.02369  -0.2016   0.0699   0.7515
  11.000   1.8802   0.03227   0.02541  -0.1974   0.0667   0.7641
  11.500   1.9089   0.03394   0.02717  -0.1935   0.0637   0.7769
  12.000   1.9358   0.03576   0.02909  -0.1894   0.0610   0.7899
  12.500   1.9599   0.03783   0.03124  -0.1851   0.0587   0.8030
  13.000   1.9839   0.03995   0.03346  -0.1810   0.0564   0.8167
  13.500   2.0065   0.04219   0.03583  -0.1769   0.0543   0.8313
  14.000   2.0250   0.04486   0.03858  -0.1726   0.0524   0.8470
  14.500   2.0457   0.04738   0.04127  -0.1687   0.0506   0.8661
  15.000   2.0617   0.05040   0.04443  -0.1647   0.0489   0.8959
  15.500   2.0768   0.05335   0.04753  -0.1607   0.0472   1.0000
  16.000   2.0892   0.05694   0.05124  -0.1569   0.0457   1.0000
  16.500   2.1010   0.06066   0.05508  -0.1534   0.0443   1.0000
  17.000   2.1084   0.06497   0.05953  -0.1500   0.0430   1.0000
  17.500   2.1155   0.06942   0.06413  -0.1470   0.0418   1.0000
  18.000   2.1165   0.07472   0.06956  -0.1442   0.0407   1.0000
  18.500   2.1189   0.08004   0.07506  -0.1419   0.0396   1.0000
  19.000   2.1124   0.08663   0.08179  -0.1402   0.0386   1.0000
  19.500   2.1112   0.09273   0.08811  -0.1392   0.0375   1.0000
  20.000   2.1024   0.10011   0.09567  -0.1390   0.0368   1.0000
