    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.000   1.3336   0.00883   0.00393  -0.3031   0.6684   0.4155
   0.250   1.3591   0.00895   0.00404  -0.3027   0.6618   0.4283
   0.500   1.3841   0.00907   0.00416  -0.3021   0.6548   0.4405
   0.750   1.4084   0.00921   0.00428  -0.3014   0.6477   0.4523
   1.000   1.4318   0.00935   0.00442  -0.3005   0.6404   0.4635
   1.250   1.4542   0.00951   0.00457  -0.2994   0.6328   0.4743
   1.500   1.4731   0.00969   0.00474  -0.2975   0.6249   0.4846
   1.750   1.4924   0.00988   0.00492  -0.2958   0.6170   0.4943
   2.000   1.5133   0.01011   0.00514  -0.2944   0.6086   0.5039
   2.500   1.5554   0.01061   0.00561  -0.2918   0.5916   0.5229
   2.750   1.5760   0.01089   0.00587  -0.2905   0.5826   0.5321
   3.000   1.5957   0.01120   0.00616  -0.2889   0.5734   0.5410
   3.250   1.6149   0.01154   0.00647  -0.2873   0.5637   0.5494
   3.500   1.6340   0.01189   0.00680  -0.2858   0.5539   0.5578
   4.000   1.6701   0.01270   0.00757  -0.2823   0.5333   0.5743
   4.250   1.6866   0.01318   0.00802  -0.2803   0.5225   0.5821
   4.500   1.7039   0.01365   0.00847  -0.2785   0.5115   0.5899
   4.750   1.7199   0.01419   0.00897  -0.2764   0.5006   0.5975
   5.000   1.7358   0.01474   0.00950  -0.2745   0.4892   0.6051
   5.250   1.7509   0.01536   0.01008  -0.2724   0.4774   0.6125
   5.500   1.7651   0.01603   0.01072  -0.2702   0.4657   0.6198
   5.750   1.7797   0.01670   0.01136  -0.2681   0.4539   0.6270
   6.000   1.7936   0.01743   0.01206  -0.2659   0.4422   0.6342
   6.250   1.8062   0.01824   0.01283  -0.2636   0.4297   0.6409
   6.500   1.8189   0.01906   0.01362  -0.2613   0.4178   0.6477
   6.750   1.8311   0.01993   0.01445  -0.2590   0.4054   0.6543
   7.000   1.8428   0.02085   0.01534  -0.2566   0.3934   0.6610
   7.250   1.8543   0.02180   0.01626  -0.2543   0.3823   0.6676
   7.500   1.8657   0.02278   0.01721  -0.2520   0.3707   0.6742
   7.750   1.8762   0.02384   0.01824  -0.2497   0.3591   0.6807
   8.000   1.8865   0.02494   0.01930  -0.2473   0.3479   0.6873
   8.250   1.8969   0.02605   0.02039  -0.2451   0.3369   0.6936
   8.500   1.9061   0.02727   0.02158  -0.2427   0.3260   0.6997
   8.750   1.9164   0.02844   0.02274  -0.2405   0.3158   0.7061
   9.000   1.9252   0.02973   0.02400  -0.2382   0.3058   0.7122
   9.250   1.9349   0.03099   0.02525  -0.2360   0.2959   0.7183
   9.500   1.9440   0.03231   0.02655  -0.2339   0.2868   0.7247
   9.750   1.9524   0.03371   0.02793  -0.2317   0.2780   0.7310
  10.000   1.9613   0.03510   0.02931  -0.2296   0.2691   0.7372
  10.250   1.9696   0.03654   0.03075  -0.2275   0.2608   0.7431
  10.500   1.9774   0.03805   0.03226  -0.2254   0.2527   0.7490
  10.750   1.9846   0.03964   0.03383  -0.2233   0.2449   0.7550
  11.000   1.9924   0.04119   0.03539  -0.2213   0.2377   0.7612
  11.250   2.0000   0.04279   0.03699  -0.2194   0.2307   0.7674
  11.500   2.0072   0.04443   0.03864  -0.2174   0.2240   0.7736
  11.750   2.0140   0.04614   0.04036  -0.2155   0.2174   0.7799
  12.000   2.0205   0.04789   0.04212  -0.2136   0.2111   0.7860
  12.250   2.0262   0.04973   0.04396  -0.2117   0.2044   0.7921
  12.500   2.0321   0.05156   0.04582  -0.2099   0.1990   0.7984
  12.750   2.0372   0.05351   0.04777  -0.2081   0.1927   0.8048
  13.000   2.0419   0.05550   0.04978  -0.2063   0.1870   0.8112
  13.500   2.0516   0.05952   0.05384  -0.2029   0.1763   0.8248
  13.750   2.0565   0.06156   0.05591  -0.2012   0.1717   0.8320
  14.000   2.0601   0.06374   0.05812  -0.1996   0.1666   0.8392
  14.250   2.0633   0.06598   0.06039  -0.1980   0.1622   0.8470
  14.500   2.0668   0.06820   0.06265  -0.1965   0.1581   0.8556
  14.750   2.0703   0.07045   0.06494  -0.1950   0.1537   0.8653
  15.000   2.0728   0.07282   0.06735  -0.1936   0.1493   0.8772
  15.250   2.0745   0.07529   0.06987  -0.1922   0.1458   0.8944
  15.500   2.0764   0.07748   0.07215  -0.1907   0.1420   1.0000
  15.750   2.0786   0.07997   0.07466  -0.1895   0.1387   1.0000
  16.000   2.0794   0.08262   0.07733  -0.1883   0.1352   1.0000
  16.250   2.0821   0.08506   0.07981  -0.1872   0.1320   1.0000
  16.500   2.0823   0.08779   0.08256  -0.1861   0.1289   1.0000
  16.750   2.0842   0.09032   0.08514  -0.1852   0.1258   1.0000
  17.000   2.0845   0.09306   0.08791  -0.1842   0.1226   1.0000
  17.250   2.0848   0.09581   0.09069  -0.1834   0.1199   1.0000
  17.500   2.0860   0.09846   0.09339  -0.1826   0.1171   1.0000
  17.750   2.0861   0.10123   0.09619  -0.1819   0.1148   1.0000
  18.000   2.0866   0.10397   0.09898  -0.1814   0.1122   1.0000
  18.250   2.0860   0.10685   0.10188  -0.1808   0.1096   1.0000
  18.500   2.0870   0.10954   0.10462  -0.1804   0.1071   1.0000
  18.750   2.0858   0.11250   0.10762  -0.1801   0.1046   1.0000
  19.000   2.0867   0.11522   0.11038  -0.1799   0.1021   1.0000
  19.250   2.0859   0.11814   0.11334  -0.1798   0.1000   1.0000
  19.500   2.0862   0.12092   0.11617  -0.1798   0.0973   1.0000
  19.750   2.0853   0.12386   0.11915  -0.1799   0.0953   1.0000
  20.000   2.0860   0.12659   0.12193  -0.1800   0.0934   1.0000
