    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.000   0.0000   0.00000   0.00000  -0.0000   0.0000   0.0000
   0.100   0.0219   0.00000   0.00000  -0.0055   0.0000   0.0000
   0.200   0.0439   0.00000   0.00000  -0.0110   0.0000   0.0000
   0.300   0.0658   0.00000   0.00000  -0.0165   0.0000   0.0000
   0.400   0.0878   0.00000   0.00000  -0.0219   0.0000   0.0000
   0.500   0.1097   0.00000   0.00000  -0.0274   0.0000   0.0000
   0.600   0.1316   0.00000   0.00000  -0.0329   0.0000   0.0000
   0.700   0.1536   0.00000   0.00000  -0.0384   0.0000   0.0000
   0.800   0.1755   0.00000   0.00000  -0.0439   0.0000   0.0000
   0.900   0.1975   0.00000   0.00000  -0.0494   0.0000   0.0000
   1.000   0.2194   0.00000   0.00000  -0.0548   0.0000   0.0000
   1.100   0.2413   0.00000   0.00000  -0.0603   0.0000   0.0000
   1.200   0.2633   0.00000   0.00000  -0.0658   0.0000   0.0000
   1.300   0.2852   0.00000   0.00000  -0.0713   0.0000   0.0000
   1.400   0.3071   0.00000   0.00000  -0.0768   0.0000   0.0000
   1.500   0.3291   0.00000   0.00000  -0.0822   0.0000   0.0000
   1.600   0.3510   0.00000   0.00000  -0.0877   0.0000   0.0000
   1.700   0.3729   0.00000   0.00000  -0.0932   0.0000   0.0000
   1.800   0.3949   0.00000   0.00000  -0.0987   0.0000   0.0000
   1.900   0.4168   0.00000   0.00000  -0.1041   0.0000   0.0000
   2.000   0.4387   0.00000   0.00000  -0.1096   0.0000   0.0000
   2.100   0.4606   0.00000   0.00000  -0.1151   0.0000   0.0000
   2.200   0.4826   0.00000   0.00000  -0.1206   0.0000   0.0000
   2.300   0.5045   0.00000   0.00000  -0.1260   0.0000   0.0000
   2.400   0.5264   0.00000   0.00000  -0.1315   0.0000   0.0000
   2.500   0.5483   0.00000   0.00000  -0.1369   0.0000   0.0000
   2.600   0.5702   0.00000   0.00000  -0.1424   0.0000   0.0000
   2.700   0.5922   0.00000   0.00000  -0.1479   0.0000   0.0000
   2.800   0.6141   0.00000   0.00000  -0.1533   0.0000   0.0000
   2.900   0.6360   0.00000   0.00000  -0.1588   0.0000   0.0000
   3.000   0.6579   0.00000   0.00000  -0.1642   0.0000   0.0000
   3.100   0.6798   0.00000   0.00000  -0.1697   0.0000   0.0000
   3.200   0.7017   0.00000   0.00000  -0.1752   0.0000   0.0000
   3.300   0.7236   0.00000   0.00000  -0.1806   0.0000   0.0000
   3.400   0.7455   0.00000   0.00000  -0.1861   0.0000   0.0000
   3.500   0.7674   0.00000   0.00000  -0.1915   0.0000   0.0000
   3.600   0.7893   0.00000   0.00000  -0.1969   0.0000   0.0000
   3.700   0.8112   0.00000   0.00000  -0.2024   0.0000   0.0000
   3.800   0.8331   0.00000   0.00000  -0.2078   0.0000   0.0000
   3.900   0.8550   0.00000   0.00000  -0.2133   0.0000   0.0000
   4.000   0.8769   0.00000   0.00000  -0.2187   0.0000   0.0000
   4.100   0.8988   0.00000   0.00000  -0.2241   0.0000   0.0000
   4.200   0.9206   0.00000   0.00000  -0.2295   0.0000   0.0000
   4.300   0.9425   0.00000   0.00000  -0.2350   0.0000   0.0000
   4.400   0.9644   0.00000   0.00000  -0.2404   0.0000   0.0000
   4.500   0.9863   0.00000   0.00000  -0.2458   0.0000   0.0000
   4.600   1.0081   0.00000   0.00000  -0.2512   0.0000   0.0000
   4.700   1.0300   0.00000   0.00000  -0.2566   0.0000   0.0000
   4.800   1.0519   0.00000   0.00000  -0.2620   0.0000   0.0000
   4.900   1.0737   0.00000   0.00000  -0.2675   0.0000   0.0000
   5.000   1.0956   0.00000   0.00000  -0.2729   0.0000   0.0000
   5.100   1.1175   0.00000   0.00000  -0.2783   0.0000   0.0000
   5.200   1.1393   0.00000   0.00000  -0.2837   0.0000   0.0000
   5.300   1.1611   0.00000   0.00000  -0.2890   0.0000   0.0000
   5.400   1.1830   0.00000   0.00000  -0.2944   0.0000   0.0000
   5.500   1.2048   0.00000   0.00000  -0.2998   0.0000   0.0000
   5.600   1.2267   0.00000   0.00000  -0.3052   0.0000   0.0000
   5.700   1.2485   0.00000   0.00000  -0.3106   0.0000   0.0000
   5.800   1.2703   0.00000   0.00000  -0.3160   0.0000   0.0000
   5.900   1.2922   0.00000   0.00000  -0.3213   0.0000   0.0000
   6.000   1.3140   0.00000   0.00000  -0.3267   0.0000   0.0000
   6.100   1.3358   0.00000   0.00000  -0.3321   0.0000   0.0000
   6.200   1.3576   0.00000   0.00000  -0.3374   0.0000   0.0000
   6.300   1.3794   0.00000   0.00000  -0.3428   0.0000   0.0000
   6.400   1.4012   0.00000   0.00000  -0.3481   0.0000   0.0000
   6.500   1.4230   0.00000   0.00000  -0.3535   0.0000   0.0000
   6.600   1.4448   0.00000   0.00000  -0.3588   0.0000   0.0000
   6.700   1.4666   0.00000   0.00000  -0.3641   0.0000   0.0000
   6.800   1.4884   0.00000   0.00000  -0.3695   0.0000   0.0000
   6.900   1.5102   0.00000   0.00000  -0.3748   0.0000   0.0000
   7.000   1.5320   0.00000   0.00000  -0.3801   0.0000   0.0000
   7.100   1.5537   0.00000   0.00000  -0.3855   0.0000   0.0000
   7.200   1.5755   0.00000   0.00000  -0.3908   0.0000   0.0000
   7.300   1.5973   0.00000   0.00000  -0.3961   0.0000   0.0000
   7.400   1.6190   0.00000   0.00000  -0.4014   0.0000   0.0000
   7.500   1.6408   0.00000   0.00000  -0.4067   0.0000   0.0000
   7.600   1.6625   0.00000   0.00000  -0.4120   0.0000   0.0000
   7.700   1.6843   0.00000   0.00000  -0.4173   0.0000   0.0000
   7.800   1.7060   0.00000   0.00000  -0.4226   0.0000   0.0000
   7.900   1.7278   0.00000   0.00000  -0.4278   0.0000   0.0000
   8.000   1.7495   0.00000   0.00000  -0.4331   0.0000   0.0000
   8.100   1.7712   0.00000   0.00000  -0.4384   0.0000   0.0000
   8.200   1.7929   0.00000   0.00000  -0.4436   0.0000   0.0000
   8.300   1.8146   0.00000   0.00000  -0.4489   0.0000   0.0000
   8.400   1.8363   0.00000   0.00000  -0.4542   0.0000   0.0000
   8.500   1.8580   0.00000   0.00000  -0.4594   0.0000   0.0000
   8.600   1.8797   0.00000   0.00000  -0.4647   0.0000   0.0000
   8.700   1.9014   0.00000   0.00000  -0.4699   0.0000   0.0000
   8.800   1.9231   0.00000   0.00000  -0.4751   0.0000   0.0000
   8.900   1.9448   0.00000   0.00000  -0.4803   0.0000   0.0000
   9.000   1.9665   0.00000   0.00000  -0.4856   0.0000   0.0000
   9.100   1.9881   0.00000   0.00000  -0.4908   0.0000   0.0000
   9.200   2.0098   0.00000   0.00000  -0.4960   0.0000   0.0000
   9.300   2.0314   0.00000   0.00000  -0.5012   0.0000   0.0000
   9.400   2.0531   0.00000   0.00000  -0.5064   0.0000   0.0000
   9.500   2.0747   0.00000   0.00000  -0.5116   0.0000   0.0000
   9.600   2.0964   0.00000   0.00000  -0.5168   0.0000   0.0000
   9.700   2.1180   0.00000   0.00000  -0.5219   0.0000   0.0000
   9.800   2.1396   0.00000   0.00000  -0.5271   0.0000   0.0000
   9.900   2.1612   0.00000   0.00000  -0.5323   0.0000   0.0000
  10.000   2.1828   0.00000   0.00000  -0.5374   0.0000   0.0000
  10.100   2.2045   0.00000   0.00000  -0.5426   0.0000   0.0000
  10.200   2.2260   0.00000   0.00000  -0.5477   0.0000   0.0000
  10.300   2.2476   0.00000   0.00000  -0.5529   0.0000   0.0000
  10.400   2.2692   0.00000   0.00000  -0.5580   0.0000   0.0000
  10.500   2.2908   0.00000   0.00000  -0.5631   0.0000   0.0000
  10.600   2.3124   0.00000   0.00000  -0.5682   0.0000   0.0000
  10.700   2.3339   0.00000   0.00000  -0.5733   0.0000   0.0000
  10.800   2.3555   0.00000   0.00000  -0.5784   0.0000   0.0000
  10.900   2.3770   0.00000   0.00000  -0.5835   0.0000   0.0000
  11.000   2.3986   0.00000   0.00000  -0.5886   0.0000   0.0000
  11.100   2.4201   0.00000   0.00000  -0.5937   0.0000   0.0000
  11.200   2.4416   0.00000   0.00000  -0.5988   0.0000   0.0000
  11.300   2.4631   0.00000   0.00000  -0.6038   0.0000   0.0000
  11.400   2.4847   0.00000   0.00000  -0.6089   0.0000   0.0000
  11.500   2.5062   0.00000   0.00000  -0.6140   0.0000   0.0000
  11.600   2.5277   0.00000   0.00000  -0.6190   0.0000   0.0000
  11.700   2.5491   0.00000   0.00000  -0.6240   0.0000   0.0000
  11.800   2.5706   0.00000   0.00000  -0.6291   0.0000   0.0000
  11.900   2.5921   0.00000   0.00000  -0.6341   0.0000   0.0000
  12.000   2.6136   0.00000   0.00000  -0.6391   0.0000   0.0000
  12.100   2.6350   0.00000   0.00000  -0.6441   0.0000   0.0000
  12.200   2.6565   0.00000   0.00000  -0.6491   0.0000   0.0000
  12.300   2.6779   0.00000   0.00000  -0.6541   0.0000   0.0000
  12.400   2.6993   0.00000   0.00000  -0.6591   0.0000   0.0000
  12.500   2.7208   0.00000   0.00000  -0.6641   0.0000   0.0000
  12.600   2.7422   0.00000   0.00000  -0.6690   0.0000   0.0000
  12.700   2.7636   0.00000   0.00000  -0.6740   0.0000   0.0000
  12.800   2.7850   0.00000   0.00000  -0.6789   0.0000   0.0000
  12.900   2.8064   0.00000   0.00000  -0.6839   0.0000   0.0000
  13.000   2.8278   0.00000   0.00000  -0.6888   0.0000   0.0000
  13.100   2.8491   0.00000   0.00000  -0.6937   0.0000   0.0000
  13.200   2.8705   0.00000   0.00000  -0.6987   0.0000   0.0000
  13.300   2.8918   0.00000   0.00000  -0.7036   0.0000   0.0000
  13.400   2.9132   0.00000   0.00000  -0.7085   0.0000   0.0000
  13.500   2.9345   0.00000   0.00000  -0.7134   0.0000   0.0000
  13.600   2.9559   0.00000   0.00000  -0.7182   0.0000   0.0000
  13.700   2.9772   0.00000   0.00000  -0.7231   0.0000   0.0000
  13.800   2.9985   0.00000   0.00000  -0.7280   0.0000   0.0000
  13.900   3.0198   0.00000   0.00000  -0.7328   0.0000   0.0000
  14.000   3.0411   0.00000   0.00000  -0.7377   0.0000   0.0000
  14.100   3.0624   0.00000   0.00000  -0.7425   0.0000   0.0000
  14.200   3.0836   0.00000   0.00000  -0.7474   0.0000   0.0000
  14.300   3.1049   0.00000   0.00000  -0.7522   0.0000   0.0000
  14.400   3.1262   0.00000   0.00000  -0.7570   0.0000   0.0000
  14.500   3.1474   0.00000   0.00000  -0.7618   0.0000   0.0000
  14.600   3.1686   0.00000   0.00000  -0.7666   0.0000   0.0000
  14.700   3.1899   0.00000   0.00000  -0.7714   0.0000   0.0000
  14.800   3.2111   0.00000   0.00000  -0.7761   0.0000   0.0000
  14.900   3.2323   0.00000   0.00000  -0.7809   0.0000   0.0000
